Station,Site_Timestamp,Temperature
"Königsplatz, Augsburg",2026-04-12 10:05:00,9.56
Grundschule Aystetten,2026-04-12 10:05:00,10.51
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 10:05:00,10.7
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 11:00:00,8.98
"Königsplatz, Augsburg",2026-04-12 11:05:00,8.2
Grundschule Aystetten,2026-04-12 11:05:00,9.58
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 11:05:00,9.86
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 11:55:00,9.14
"Königsplatz, Augsburg",2026-04-12 11:55:00,8.05
Grundschule Aystetten,2026-04-12 11:55:00,9.1
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 11:55:00,8.9
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 12:50:00,9.56
"Königsplatz, Augsburg",2026-04-12 12:50:00,8.08
Grundschule Aystetten,2026-04-12 12:50:00,9.41
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 12:55:00,9.51
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 13:35:00,10.05
"Königsplatz, Augsburg",2026-04-12 13:35:00,8.88
Grundschule Aystetten,2026-04-12 13:35:00,9.71
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 13:35:00,9.38
"Benediktinerabtei St. Stephan, Augsburg",2026-04-12 14:00:00,9.9
"Königsplatz, Augsburg",2026-04-12 14:00:00,8.66
Grundschule Aystetten,2026-04-12 14:00:00,9.41
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-12 14:00:00,9.38
